Itemset Size,Antecedent,Consequent,support(A->C),confidence(A->C),lift(A->C)
3,"('sausage', 'yogurt')","('whole milk',)",0.0015,0.261,1.6526
3,"('rolls/buns', 'sausage')","('whole milk',)",0.0011,0.2125,1.3456
3,"('sausage', 'soda')","('whole milk',)",0.0011,0.1798,1.1384
3,"('rolls/buns', 'yogurt')","('whole milk',)",0.0013,0.1709,1.0824
3,"('sausage', 'whole milk')","('yogurt',)",0.0015,0.1642,1.9118
3,"('rolls/buns', 'soda')","('other vegetables',)",0.0011,0.136,1.1141
3,"('whole milk', 'yogurt')","('sausage',)",0.0015,0.1344,2.227
3,"('sausage', 'whole milk')","('rolls/buns',)",0.0011,0.1228,1.1166
3,"('sausage', 'whole milk')","('soda',)",0.0011,0.1228,1.2649
3,"('whole milk', 'yogurt')","('rolls/buns',)",0.0013,0.1165,1.0588
3,"('other vegetables', 'rolls/buns')","('soda',)",0.0011,0.1076,1.108
2,"('semi-finished bread',)","('whole milk',)",0.0017,0.1761,1.1148
2,"('processed cheese',)","('rolls/buns',)",0.0015,0.1447,1.3157
2,"('packaged fruit/vegetables',)","('rolls/buns',)",0.0012,0.1417,1.2884
2,"('seasonal products',)","('rolls/buns',)",0.001,0.1415,1.2864
2,"('frankfurter',)","('other vegetables',)",0.0051,0.1363,1.1161
2,"('red/blush wine',)","('rolls/buns',)",0.0013,0.1274,1.158
2,"('soft cheese',)","('yogurt',)",0.0013,0.1267,1.475
2,"('detergent',)","('yogurt',)",0.0011,0.124,1.4443
2,"('oil',)","('soda',)",0.0018,0.1211,1.2468
2,"('chocolate',)","('rolls/buns',)",0.0028,0.119,1.0816
2,"('chewing gum',)","('yogurt',)",0.0014,0.1167,1.3585
2,"('detergent',)","('rolls/buns',)",0.001,0.1163,1.057
2,"('beverages',)","('soda',)",0.0019,0.1129,1.1627
2,"('flour',)","('tropical fruit',)",0.0011,0.1096,1.6171
2,"('herbs',)","('yogurt',)",0.0011,0.1076,1.2529
2,"('processed cheese',)","('root vegetables',)",0.0011,0.1053,1.513
