pastry,salty snack,whole milk
sausage,semi-finished bread,whole milk,yogurt
pickled vegetables,soda
canned beer,misc. beverages
hygiene articles,sausage
rolls/buns,sausage,whole milk
soda,whole milk
frankfurter,soda,whipped/sour cream
beef,white bread
curd,frankfurter
frozen vegetables,other vegetables
butter,whole milk
sugar,tropical fruit
butter milk,specialty chocolate
dental care,frozen meals
rolls/buns
detergent,root vegetables
rolls/buns,sausage
pip fruit,tropical fruit,whole milk
cling film/bags,dish cleaner
chocolate,red/blush wine,rolls/buns
canned beer,frozen fish
other vegetables,shopping bags
pastry,root vegetables,whole milk
chocolate,packaged fruit/vegetables,rolls/buns,whole milk
hygiene articles,other vegetables
rolls/buns
margarine,whipped/sour cream
rice,whole milk
bottled water,rolls/buns,softener
shopping bags,skin care
bottled beer,chicken,chocolate,flour,frankfurter,rolls/buns,whole milk
domestic eggs,photo/film,root vegetables,soda,tropical fruit,white wine,yogurt
dessert,hamburger meat,liquor (appetizer),liver loaf
canned fish,cocoa drinks
tropical fruit,yogurt
ketchup,pastry
herbs,newspapers,yogurt
UHT-milk,coffee,pip fruit
kitchen towels,sliced cheese
bottled water,specialty bar
bottled water,frankfurter
candles,pip fruit,rolls/buns
bottled water,candy,citrus fruit,rolls/buns
curd cheese,pastry
candles,frankfurter,grapes,herbs,other vegetables,whole milk,yogurt
brown bread,frozen vegetables
processed cheese,whole milk
frankfurter,yogurt
onions,rolls/buns,root vegetables,shopping bags,tropical fruit
bottled water,hard cheese,napkins
candy,whole milk
frozen vegetables,tropical fruit
mustard,whipped/sour cream
mustard,other vegetables
mayonnaise,root vegetables
frozen meals,whole milk
domestic eggs,meat,roll products ,white bread
butter milk,hamburger meat
rolls/buns,whole milk
canned beer,cookware
bottled beer,sausage,whole milk,yogurt
chocolate,fruit/vegetable juice,rolls/buns
beef,salty snack
citrus fruit,whole milk
pip fruit,soft cheese
chicken,red/blush wine
frankfurter,mayonnaise,oil,pip fruit,rolls/buns
UHT-milk,bottled beer
other vegetables,root vegetables
beef,yogurt
brown bread,pet care
other vegetables,rolls/buns
dessert,shopping bags,soda
beverages,domestic eggs
berries,cake bar
curd,long life bakery product
butter milk,root vegetables
hamburger meat,red/blush wine
butter,frozen meals,newspapers,yogurt
canned beer,shopping bags
canned beer,frozen fish,rolls/buns,spices
butter,sliced cheese
curd,liquor,tropical fruit,yogurt
baking powder,rolls/buns
beef,napkins
whipped/sour cream,whole milk
fruit/vegetable juice,sausage
chicken,frozen meals
curd,male cosmetics
domestic eggs,soda
sausage,specialty bar,whipped/sour cream
packaged fruit/vegetables,rolls/buns,root vegetables,whipped/sour cream
berries,bottled beer,white bread,yogurt
fish,other vegetables,root vegetables,tropical fruit
coffee,shopping bags
cream cheese ,ham
UHT-milk,canned beer
dessert,pickled vegetables,rolls/buns,sausage
long life bakery product,root vegetables
citrus fruit,yogurt
butter,candy,dental care,fruit/vegetable juice,salty snack
canned beer,root vegetables,whipped/sour cream
salt,softener,whole milk
bottled water,rolls/buns
red/blush wine,rolls/buns
hamburger meat,pork
rolls/buns,sugar
baking powder,bottled water,onions,rolls/buns
butter,soda
canned beer,flower (seeds),onions
root vegetables,specialty chocolate
dessert,ham
ice cream,pot plants
beverages,cream cheese 
berries,other vegetables
newspapers,whipped/sour cream
pastry,shopping bags,white bread,whole milk
berries,butter,cream cheese ,other vegetables,soda,white bread
ice cream,whipped/sour cream
root vegetables,yogurt
frankfurter,pastry
dessert,fruit/vegetable juice
rolls/buns,sausage,snack products
rolls/buns,soda,tropical fruit
chicken,waffles
cat food,cling film/bags,pip fruit,yogurt
bottled water,domestic eggs,frozen meals
newspapers,tropical fruit
frozen vegetables,whole milk
pip fruit,salt,white bread,white wine
rolls/buns,whole milk,yogurt
frozen vegetables,sausage
newspapers,whole milk
fruit/vegetable juice,vinegar
rolls/buns,tropical fruit,white bread
cake bar,chewing gum,citrus fruit,shopping bags
canned beer,frankfurter,yogurt
margarine,napkins
butter,fruit/vegetable juice,pork,sausage,whole milk
pip fruit,whipped/sour cream,whole milk
other vegetables,specialty chocolate
frozen meals,herbs,pip fruit
Instant food products,butter,cake bar,whipped/sour cream
rolls/buns,salty snack
rolls/buns,yogurt
pasta,rolls/buns,whole milk
root vegetables,white bread
chicken,onions,packaged fruit/vegetables,tropical fruit
candy,chicken,frozen vegetables
brown bread,tropical fruit,whole milk
dessert,prosecco
hamburger meat,yogurt
beef,dessert
bottled water,citrus fruit
other vegetables,whole milk
sliced cheese,tropical fruit
chocolate marshmallow,napkins,whole milk
citrus fruit,rolls/buns,whole milk
other vegetables,tropical fruit
curd,root vegetables
butter,root vegetables,yogurt
Instant food products,fruit/vegetable juice,specialty chocolate
chicken,onions
